STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls
ANDHRA PRADESH,ADILABAD,2011,84,70,20,112,142,429,0
ANDHRA PRADESH,ANANTAPUR,2011,16,83,36,156,16,198,0
ANDHRA PRADESH,CHITTOOR,2011,17,47,25,124,168,421,0
ANDHRA PRADESH,CUDDAPAH,2011,41,65,15,144,17,122,0
ANDHRA PRADESH,CYBERABAD,2011,89,90,51,158,234,1411,0
ANDHRA PRADESH,EAST GODAVARI,2011,72,51,17,176,224,575,0
ANDHRA PRADESH,GUNTAKAL RLY.,2011,0,0,0,0,3,1,0
ANDHRA PRADESH,GUNTUR,2011,40,57,8,223,140,494,0
ANDHRA PRADESH,GUNTUR URBAN,2011,33,28,6,86,111,395,0
ANDHRA PRADESH,HYDERABAD CITY,2011,59,39,37,157,93,1355,0
ANDHRA PRADESH,KARIMNAGAR,2011,58,120,40,253,235,702,0
ANDHRA PRADESH,KHAMMAM,2011,84,73,20,243,140,519,0
ANDHRA PRADESH,KRISHNA,2011,80,75,15,348,292,733,0
ANDHRA PRADESH,KURNOOL,2011,39,58,20,340,222,424,0
ANDHRA PRADESH,MAHABOOBNAGAR,2011,88,69,28,162,66,259,0
ANDHRA PRADESH,MEDAK,2011,38,33,26,121,50,384,0
ANDHRA PRADESH,NALGONDA,2011,48,51,36,229,150,255,0
ANDHRA PRADESH,NELLORE,2011,28,81,7,166,119,187,0
ANDHRA PRADESH,NIZAMABAD,2011,63,51,27,98,100,569,0
ANDHRA PRADESH,PRAKASHAM,2011,24,81,11,243,56,266,0
ANDHRA PRADESH,RAJAHMUNDRY,2011,15,28,3,44,34,189,0
ANDHRA PRADESH,RANGA REDDY,2011,24,20,15,50,2,89,0
ANDHRA PRADESH,SECUNDERABAD RLY.,2011,0,1,1,5,1,2,0
ANDHRA PRADESH,SRIKAKULAM,2011,29,23,8,91,83,333,0
ANDHRA PRADESH,TIRUPATHI URBAN,2011,10,1,5,40,7,112,0
ANDHRA PRADESH,VIJAYAWADA CITY,2011,37,50,17,248,355,1066,0
ANDHRA PRADESH,VIJAYAWADA RLY.,2011,1,2,1,3,2,1,0
ANDHRA PRADESH,VISAKHA RURAL,2011,38,30,8,120,128,203,0
ANDHRA PRADESH,VISAKHAPATNAM,2011,57,48,12,31,50,386,0
ANDHRA PRADESH,VIZIANAGARAM,2011,50,20,5,79,99,384,0
ANDHRA PRADESH,WARANGAL,2011,48,62,26,157,27,89,0
ANDHRA PRADESH,WARANGAL URBAN,2011,35,15,26,78,54,63,0
ANDHRA PRADESH,WEST GODAVARI,2011,97,90,27,364,238,760,0
ANDHRA PRADESH,TOTAL,2011,1442,1612,599,4849,3658,13376,0
ARUNACHAL PRADESH,ANJAW,2011,0,0,0,0,0,0,0
ARUNACHAL PRADESH,CHANGLANG,2011,3,7,0,3,0,2,0
ARUNACHAL PRADESH,DIBANG VALLEY,2011,3,2,0,1,0,0,0
ARUNACHAL PRADESH,K/KUMEY,2011,4,0,0,0,0,0,0
ARUNACHAL PRADESH,KAMENG EAST,2011,3,2,0,3,0,0,0
ARUNACHAL PRADESH,KAMENG WEST,2011,0,1,0,4,0,0,0
ARUNACHAL PRADESH,LOHIT,2011,5,4,0,2,0,0,0
ARUNACHAL PRADESH,PAPUM PARE,2011,4,17,0,7,0,9,0
ARUNACHAL PRADESH,RURAL,2011,2,4,0,4,0,3,0
ARUNACHAL PRADESH,SIANG EAST,2011,8,4,0,7,0,2,0
ARUNACHAL PRADESH,SIANG UPPER,2011,1,3,0,3,0,0,0
ARUNACHAL PRADESH,SIANG WEST,2011,2,5,0,8,0,2,0
ARUNACHAL PRADESH,SUBANSIRI LOWER,2011,2,3,0,0,0,0,0
ARUNACHAL PRADESH,SUBANSIRI UPPER,2011,2,6,0,5,0,0,0
ARUNACHAL PRADESH,TAWANG,2011,0,1,0,1,0,0,0
ARUNACHAL PRADESH,TIRAP,2011,3,1,0,3,0,0,0
ARUNACHAL PRADESH,UPPER DIBANG VALLEY,2011,0,0,0,0,0,0,0
ARUNACHAL PRADESH,TOTAL,2011,42,60,0,51,0,18,0
ASSAM,BARPETA,2011,92,156,5,25,0,336,0
ASSAM,BASKA,2011,29,60,3,4,0,25,0
ASSAM,BONGAIGAON,2011,72,64,5,2,0,126,0
ASSAM,C.I.D.,2011,0,0,0,0,0,0,0
ASSAM,CACHAR,2011,74,167,4,7,0,498,0
ASSAM,CHIRANG,2011,30,40,4,8,0,51,0
ASSAM,DARRANG,2011,95,192,2,109,2,164,0
ASSAM,DHEMAJI,2011,62,59,5,40,0,122,0
ASSAM,DHUBRI,2011,157,276,12,210,2,693,0
