,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Safety Index
0,ANDHRA PRADESH,ADILABAD,2011,84,70,20,112,142,429,0,87.11333333333334
1,ANDHRA PRADESH,ANANTAPUR,2011,16,83,36,156,16,198,0,91.29333333333334
2,ANDHRA PRADESH,CHITTOOR,2011,17,47,25,124,168,421,0,89.70666666666666
3,ANDHRA PRADESH,CUDDAPAH,2011,41,65,15,144,17,122,0,92.20666666666666
4,ANDHRA PRADESH,CYBERABAD,2011,89,90,51,158,234,1411,0,76.65333333333334
5,ANDHRA PRADESH,EAST GODAVARI,2011,72,51,17,176,224,575,0,84.85333333333332
6,ANDHRA PRADESH,GUNTAKAL RAILWAY,2011,0,0,0,0,3,1,0,99.95333333333333
7,ANDHRA PRADESH,GUNTUR,2011,40,57,8,223,140,494,0,86.99333333333334
8,ANDHRA PRADESH,GUNTUR URBAN,2011,33,28,6,86,111,395,0,91.89999999999999
9,ANDHRA PRADESH,HYDERABAD CITY,2011,59,39,37,157,93,1355,0,81.95333333333335
10,ANDHRA PRADESH,KARIMNAGAR,2011,58,120,40,253,235,702,0,80.27333333333333
11,ANDHRA PRADESH,KHAMMAM,2011,84,73,20,243,140,519,0,83.84
12,ANDHRA PRADESH,KRISHNA,2011,80,75,15,348,292,733,0,78.56
13,ANDHRA PRADESH,KURNOOL,2011,39,58,20,340,222,424,0,83.64000000000001
14,ANDHRA PRADESH,MAHABOOB NAGAR,2011,88,69,28,162,66,259,0,87.86
15,ANDHRA PRADESH,MEDAK,2011,38,33,26,121,50,384,0,91.08666666666666
16,ANDHRA PRADESH,NALGONDA,2011,48,51,36,229,150,255,0,87.24000000000001
17,ANDHRA PRADESH,NELLORE,2011,28,81,7,166,119,187,0,90.33333333333333
18,ANDHRA PRADESH,NIZAMABAD,2011,63,51,27,98,100,569,0,88.13333333333333
